Služba,Krátké,Polodlouhé,Dlouhé
"Mytí, střih, foukaná, styling","430,-","550,-","650,-"
"Mytí, foukaná, styling","300,-","370,-","410,-"
"Mytí, střih, foukaná, žehlení, styling","450,-","580,-","650,-"
"Mytí, foukaná, žehlení, styling","350,-","400,-","440,-"
Melír přes čepici,"390,-",,
Melír,"500-590,-","600-700,-","750-850,-"
"Částečný melír (vršek, strany)","300,-","500,-","600,-"
Barva odrost,"400,-",,
Barevný melír,"650,-","700-800,-","850-950,-"
Kombinované barvení,"500,-","600,-","750-850,-"
"Přeliv, barva","400,-","500,-","600,-"
Trvalá,"580,-","690,-","850,-"
Stahování barvy,"500,-","600,-","900,-"
Společenské účesy,"500-1000,- dle náročnosti",,
Masáž hlavy,"70,-",,
Keratinová kůra,"250,-","350,-","450,-"
Zastřižení ofiny,"70,-",,
Příplatek za razantní změnu / dlouhé husté vlasy,,"50-200,-",